n,algoritmo,tempo,co2
500,classico,0.026779890060424805,2.7205986498410564e-07
500,heap,0.009751558303833008,1.253985759231703e-07
500,networkx,0.00115203857421875,4.060648661084171e-08
500,classico,0.017401456832885742,1.7698863919817938e-07
500,heap,0.004349946975708008,5.767647036426893e-08
500,networkx,0.0024857521057128906,4.66164779300798e-08
500,classico,0.016506433486938477,1.7066549038828496e-07
500,heap,0.004577159881591797,5.849021251022129e-08
500,networkx,0.002394437789916992,5.175887753711192e-08
500,classico,0.027131319046020508,2.813526447600786e-07
500,heap,0.004471302032470703,3.4682290459033023e-10
500,networkx,0.0028030872344970703,4.122271848818979e-08
500,classico,0.01698589324951172,1.7355886751749604e-07
500,heap,0.00679326057434082,9.112277446452043e-08
500,networkx,0.002490997314453125,4.06539396091869e-08
500,classico,0.016057729721069336,1.644913514157048e-07
500,heap,0.005445003509521484,7.289778837578527e-08
500,networkx,0.0015473365783691406,2.6205726198094254e-08
500,classico,0.01665210723876953,1.6918112434678663e-07
500,heap,0.004471778869628906,7.160152756388869e-08
500,networkx,0.0019044876098632812,3.622617392822399e-08
500,classico,0.017879247665405273,1.8430741770003188e-07
500,heap,0.008228778839111328,1.0273573212705138e-07
500,networkx,0.0010437965393066406,4.332839699202914e-08
500,classico,0.017171621322631836,1.7510361441434698e-07
500,heap,0.0050661563873291016,6.073924301801203e-08
500,networkx,0.0017361640930175781,5.918218610673908e-08
500,classico,0.015271425247192383,1.6437559311592527e-07
500,heap,0.0046312808990478516,5.781327100476758e-08
500,networkx,0.002598285675048828,4.7326857886868604e-08
500,classico,0.01761794090270996,1.7711502350104922e-07
500,heap,0.005059003829956055,6.469722517664754e-08
500,networkx,0.0014181137084960938,2.8946536767286405e-08
500,classico,0.030004501342773438,2.9953474587207843e-07
500,heap,0.00917196273803711,1.1559874042573692e-07
500,networkx,0.0021800994873046875,3.815010005321247e-08
500,classico,0.017124652862548828,1.8008958650256204e-07
500,heap,0.0043795108795166016,6.545735597108138e-08
500,networkx,0.001123189926147461,4.689945213007393e-08
500,classico,0.01881694793701172,1.877943079372524e-07
500,heap,0.0028345584869384766,5.325692310754095e-08
500,networkx,0.0010797977447509766,3.9717807502942144e-08
500,classico,0.025070905685424805,2.578988141666146e-07
500,heap,0.008342742919921875,1.1187650519374568e-07
500,networkx,0.0014262199401855469,3.504626249396071e-08
500,classico,0.01909804344177246,1.919332395023118e-07
500,heap,0.00520634651184082,6.421791304754603e-08
500,networkx,0.001580953598022461,4.7801353072601565e-08
500,classico,0.020648717880249023,2.085657290429514e-07
500,heap,0.004925966262817383,6.151446924925986e-08
500,networkx,0.0015408992767333984,3.659057355502435e-08
500,classico,0.03238224983215332,3.1949404594471514e-07
500,heap,0.005614757537841797,7.000611354814877e-08
500,networkx,0.0017542839050292969,3.085707332599266e-08
500,classico,0.015703678131103516,1.7204414956154985e-07
500,heap,0.005424976348876953,8.191599438193493e-08
500,networkx,0.0018711090087890625,4.427335287411186e-08
500,classico,0.019646167755126953,1.968944381052993e-07
500,heap,0.004858493804931641,7.226012337812243e-08
500,networkx,0.0014560222625732422,2.9666058565642634e-08
500,classico,0.025290727615356445,2.565218693402973e-07
500,heap,0.004107952117919922,5.6916696000845877e-08
500,networkx,0.0016512870788574219,4.3567211720038045e-08
500,classico,0.018515825271606445,1.8469670322882138e-07
500,heap,0.005071401596069336,6.394089333477781e-08
500,networkx,0.0025310516357421875,4.600087058696275e-08
500,classico,0.017399311065673828,1.778059527870825e-07
500,heap,0.0068094730377197266,9.325208444909776e-08
500,networkx,0.002028942108154297,4.8995579276619076e-08
500,classico,0.02944326400756836,3.078260297965058e-07
500,heap,0.004260540008544922,5.6906203826763835e-08
500,networkx,0.0025124549865722656,3.838340014452669e-08
500,classico,0.017938613891601562,1.827464552194039e-07
500,heap,0.006679058074951172,7.488602724429938e-08
500,networkx,0.0017201900482177734,4.2001324341560395e-08
500,classico,0.020394325256347656,2.048120837576342e-07
500,heap,0.004181623458862305,5.133068263745024e-08
500,networkx,0.0017085075378417969,2.9068610000122683e-08
500,classico,0.016681432723999023,1.72586621722537e-07
500,heap,0.007475614547729492,9.796765108755466e-08
500,networkx,0.002832651138305664,4.495948038458452e-08
500,classico,0.017418622970581055,1.7706852470212396e-07
500,heap,0.0049707889556884766,6.256945868383832e-08
500,networkx,0.0024220943450927734,6.407839479151933e-08
500,classico,0.01922893524169922,1.9841199456898734e-07
500,heap,0.005846977233886719,8.303617849115131e-08
500,networkx,0.004342079162597656,6.043647509966971e-08
500,classico,0.019308805465698242,1.9634745145361076e-07
500,heap,0.004697084426879883,6.031120246795571e-08
500,networkx,0.0015854835510253906,3.389698312218065e-08
500,classico,0.01868724822998047,1.9117506573064928e-07
500,heap,0.004086494445800781,5.3866056707566536e-08
500,networkx,0.0015435218811035156,2.9632512159167167e-08
500,classico,0.019392967224121094,2.0633934771258629e-07
500,heap,0.008357763290405273,9.699721287329641e-08
500,networkx,0.0024416446685791016,4.36901468099625e-08
500,classico,0.01993536949157715,2.0577375574185915e-07
500,heap,0.005087137222290039,6.687740703801529e-08
500,networkx,0.004214286804199219,6.78705296717088e-08
500,classico,0.01738905906677246,1.7824177146459927e-07
500,heap,0.0025365352630615234,5.2382247394170714e-08
500,networkx,0.0015120506286621094,2.609832728769723e-08
500,classico,0.017602205276489258,1.7936086263945023e-07
500,heap,0.005221843719482422,7.821546171213238e-08
500,networkx,0.0019047260284423828,3.7374036946257887e-08
500,classico,0.017736434936523438,1.8198854553586263e-07
500,heap,0.004680156707763672,5.899805157627711e-08
500,networkx,0.0014834403991699219,3.7160060835036257e-08
500,classico,0.018626689910888672,1.9864962268144253e-07
500,heap,0.006078958511352539,7.586543778352319e-08
500,networkx,0.001451730728149414,2.5011645421885136e-08
500,classico,0.0172274112701416,1.789313441730959e-07
500,heap,0.005330324172973633,7.534388796246286e-08
500,networkx,0.0020225048065185547,3.285856391794959e-08
500,classico,0.019573211669921875,1.956929164496322e-07
500,heap,0.0041654109954833984,5.292958512212839e-08
500,networkx,0.0014584064483642578,5.992076913397071e-08
500,classico,0.017558574676513672,1.8141305246842543e-07
500,heap,0.01113128662109375,1.3716660898730955e-07
500,networkx,0.0022461414337158203,5.09562525457666e-08
500,classico,0.017994165420532227,2.0097861988244558e-07
500,heap,0.005509376525878906,6.731878228514663e-08
500,networkx,0.003167390823364258,4.411046499554538e-08
500,classico,0.018091917037963867,1.9000508215871515e-07
500,heap,0.0069544315338134766,9.630198768458107e-08
500,networkx,0.002299785614013672,3.924187142665127e-08
1000,classico,0.10457181930541992,9.938287771724064e-07
1000,heap,0.01657867431640625,1.7469678795097685e-07
1000,networkx,0.01215219497680664,1.2916416810022767e-07
1000,classico,0.05491352081298828,5.288780146711843e-07
1000,heap,0.018045902252197266,2.0086213355418046e-07
1000,networkx,0.010927438735961914,1.2003050000196902e-07
1000,classico,0.05553746223449707,5.370156408851606e-07
1000,heap,0.01452326774597168,1.4872926622182974e-07
1000,networkx,0.010998964309692383,1.142965670596611e-07
1000,classico,0.08676457405090332,8.26245089885591e-07
1000,heap,0.012760639190673828,1.3332251598783814e-07
1000,networkx,0.012364864349365234,1.4584157949088653e-07
1000,classico,0.0533597469329834,5.235648384267171e-07
1000,heap,0.014357328414916992,1.646789333754831e-07
1000,networkx,0.010117530822753906,1.099591041129102e-07
1000,classico,0.05439019203186035,5.251289646187814e-07
1000,heap,0.023604154586791992,2.538821815589304e-07
1000,networkx,0.01064920425415039,1.1958348030466477e-07
1000,classico,0.09136390686035156,8.837253008345385e-07
1000,heap,0.012976408004760742,1.350498690912669e-07
1000,networkx,0.015877962112426758,1.6334017167573937e-07
1000,classico,0.05619096755981445,5.416698430261215e-07
1000,heap,0.014268159866333008,1.462017117656223e-07
1000,networkx,0.012074708938598633,1.2803882756974258e-07
1000,classico,0.057306766510009766,5.533873428008365e-07
1000,heap,0.018328189849853516,1.9216313811242996e-07
1000,networkx,0.01287531852722168,1.4349606113130852e-07
1000,classico,0.05786943435668945,5.592381805103532e-07
1000,heap,0.0156404972076416,1.5853773233556864e-07
1000,networkx,0.011347532272338867,1.2212457644605063e-07
1000,classico,0.052887916564941406,5.106357133718494e-07
1000,heap,0.013492107391357422,1.4213724786961023e-07
1000,networkx,0.01201486587524414,1.3069561420437375e-07
1000,classico,0.08565664291381836,8.196914598646728e-07
1000,heap,0.0246584415435791,2.4601998294209854e-07
1000,networkx,0.00907588005065918,9.75420805692621e-08
1000,classico,0.054206132888793945,5.232026790935134e-07
1000,heap,0.013329267501831055,1.3905949531776785e-07
1000,networkx,0.010121345520019531,1.1294237713624034e-07
1000,classico,0.05378270149230957,5.165910271712791e-07
1000,heap,0.018602371215820312,1.9139518145909064e-07
1000,networkx,0.015178203582763672,1.7605312984202943e-07
1000,classico,0.09464669227600098,9.03495511589922e-07
1000,heap,0.01311945915222168,1.3952597059346387e-07
1000,networkx,0.009517669677734375,1.086708538435175e-07
1000,classico,0.05711960792541504,5.473749153531144e-07
1000,heap,0.016109943389892578,1.7536293973681032e-07
1000,networkx,0.01016688346862793,1.144424992819358e-07
1000,classico,0.06091189384460449,5.860939959203906e-07
1000,heap,0.018065452575683594,1.9340439664653443e-07
1000,networkx,0.012461423873901367,1.3398643327857484e-07
1000,classico,0.05508160591125488,5.301279917016961e-07
1000,heap,0.01488947868347168,1.508793647184413e-07
1000,networkx,0.00994110107421875,1.0802388596394909e-07
1000,classico,0.057649850845336914,5.557720810149378e-07
1000,heap,0.01702737808227539,1.7430567699789265e-07
1000,networkx,0.010038137435913086,1.221374619241992e-07
1000,classico,0.08276033401489258,7.93741817209505e-07
1000,heap,0.01953864097595215,2.0679205334719655e-07
1000,networkx,0.010774374008178711,1.1783436664661898e-07
1000,classico,0.05424165725708008,5.302774458506049e-07
1000,heap,0.015766382217407227,1.6438893182822603e-07
1000,networkx,0.013211250305175781,1.480691193326086e-07
1000,classico,0.05438041687011719,5.251899093385533e-07
1000,heap,0.014405965805053711,1.495067528209012e-07
1000,networkx,0.014493942260742188,1.6092044348957928e-07
1000,classico,0.08688521385192871,8.289973785010332e-07
1000,heap,0.013477802276611328,1.407519342858956e-07
1000,networkx,0.011328458786010742,1.3112259973849412e-07
1000,classico,0.05801749229431152,5.573262467795906e-07
1000,heap,0.01580667495727539,1.6755193017059516e-07
1000,networkx,0.014440298080444336,1.504698206398728e-07
1000,classico,0.0640101432800293,6.209412126833147e-07
1000,heap,0.015408515930175781,1.7953786945153972e-07
1000,networkx,0.019551992416381836,2.0506270262721203e-07
1000,classico,0.06032371520996094,5.797029923658559e-07
1000,heap,0.015323877334594727,1.5699582216206978e-07
1000,networkx,0.011055707931518555,1.1865409227485761e-07
1000,classico,0.05678105354309082,5.47474778366519e-07
1000,heap,0.015808582305908203,1.7374002614321435e-07
1000,networkx,0.011772871017456055,1.2649451070835334e-07
1000,classico,0.05746626853942871,5.532148732302727e-07
1000,heap,0.014765501022338867,1.4963318307151102e-07
1000,networkx,0.024272441864013672,2.600124536982894e-07
1000,classico,0.05478811264038086,5.313823712525941e-07
1000,heap,0.018854856491088867,1.9041349270834778e-07
1000,networkx,0.012924432754516602,1.4273341658762367e-07
1000,classico,0.052422523498535156,5.146454698594411e-07
1000,heap,0.01752948760986328,1.7643103546542573e-07
1000,networkx,0.012587308883666992,1.3652624555659454e-07
1000,classico,0.09070682525634766,8.781021303647349e-07
1000,heap,0.015620946884155273,1.7502769470299632e-07
1000,networkx,0.011514902114868164,1.2396943520664484e-07
1000,classico,0.05961179733276367,5.732241404968249e-07
1000,heap,0.013016939163208008,1.4172584535572552e-07
1000,networkx,0.01147150993347168,1.3202289384418845e-07
1000,classico,0.058635711669921875,5.642911031073884e-07
1000,heap,0.009212732315063477,1.0530894404609874e-07
1000,networkx,0.012435436248779297,1.4479185041911426e-07
1000,classico,0.09029555320739746,8.591636697530385e-07
1000,heap,0.014823436737060547,1.704927255017512e-07
1000,networkx,0.009487152099609375,1.0243303602937866e-07
1000,classico,0.05768251419067383,5.562345209078006e-07
1000,heap,0.016777753829956055,1.8092950778305102e-07
1000,networkx,0.012506246566772461,1.4074305831633208e-07
1000,classico,0.058197736740112305,5.692622755196841e-07
1000,heap,0.03401613235473633,3.5822971369331925e-07
1000,networkx,0.012320756912231445,1.385873403508529e-07
1000,classico,0.05633950233459473,5.434264033625815e-07
1000,heap,0.013242006301879883,1.387686328053259e-07
1000,networkx,0.012618541717529297,1.3397827730915007e-07
1000,classico,0.05691647529602051,5.488823976341277e-07
1000,heap,0.012996673583984375,1.3677545520952902e-07
1000,networkx,0.010312557220458984,1.374023416396974e-07
1000,classico,0.09196805953979492,8.75171636724447e-07
1000,heap,0.023328781127929688,2.428718128248715e-07
1000,networkx,0.011242866516113281,1.2015803523239331e-07
1000,classico,0.05786871910095215,5.548629104950089e-07
1000,heap,0.012883186340332031,1.462092075138057e-07
1000,networkx,0.010418415069580078,1.3076108144517166e-07
1000,classico,0.06181955337524414,5.909368676026553e-07
1000,heap,0.015326976776123047,1.7013810875634876e-07
1000,networkx,0.009721517562866211,1.0341894573959757e-07
1000,classico,0.08961987495422363,8.616993882083109e-07
1000,heap,0.015315055847167969,1.6845587289351043e-07
1000,networkx,0.006661415100097656,8.62818397300647e-08
1000,classico,0.055060625076293945,5.300583436520061e-07
1000,heap,0.014983415603637695,1.6148315457266608e-07
1000,networkx,0.011088132858276367,1.2344629594610183e-07
1000,classico,0.06018328666687012,5.768072103344375e-07
1000,heap,0.034873008728027344,3.520907997860868e-07
1000,networkx,0.011461019515991211,1.2352836731963942e-07
1000,classico,0.058834075927734375,5.668237082606107e-07
1000,heap,0.015961408615112305,1.8453986887105245e-07
1000,networkx,0.010481595993041992,1.117772448558792e-07
1000,classico,0.06252813339233398,6.016124913767208e-07
1000,heap,0.014531612396240234,1.6401775734325568e-07
1000,networkx,0.01168966293334961,1.3162781442132973e-07
1000,classico,0.09946250915527344,9.582429617679712e-07
1000,heap,0.021933317184448242,2.4023345307014476e-07
1000,networkx,0.011030435562133789,1.3257581133951302e-07
1000,classico,0.05957794189453125,5.715406149705738e-07
1000,heap,0.010062217712402344,1.163308158072819e-07
1000,networkx,0.012102365493774414,1.2620516001528639e-07
1000,classico,0.05842328071594238,5.635427487962655e-07
1000,heap,0.012687206268310547,1.403725195192653e-07
1000,networkx,0.01506352424621582,1.626186388777136e-07
1000,classico,0.11356949806213379,1.0767610545907224e-06
1000,heap,0.025112628936767578,2.695246131442229e-07
1000,networkx,0.01322031021118164,1.458309383213829e-07
1000,classico,0.05869626998901367,5.614125845386816e-07
1000,heap,0.01795792579650879,1.9087480620846455e-07
1000,networkx,0.009831666946411133,1.0764279209220329e-07
1000,classico,0.06944513320922852,6.676264540562115e-07
1000,heap,0.013283491134643555,1.3912146382922755e-07
1000,networkx,0.017526865005493164,1.7736198081610447e-07
1000,classico,0.11853718757629395,1.1305902744886238e-06
1000,heap,0.015691041946411133,1.6538112569022578e-07
1000,networkx,0.01650238037109375,1.7607128861894185e-07
1000,classico,0.057816267013549805,5.553913663255598e-07
1000,heap,0.014829158782958984,1.5626769205198916e-07
1000,networkx,0.01557779312133789,1.5818831929831037e-07
1000,classico,0.06054878234863281,5.794335433439191e-07
1000,heap,0.024961233139038086,2.86014962276908e-07
1000,networkx,0.018836498260498047,2.0417573028195036e-07
1000,classico,0.05791044235229492,5.574164277295333e-07
1000,heap,0.009574174880981445,1.0942718970117086e-07
1000,networkx,0.010544300079345703,1.1431350398073457e-07
1000,classico,0.05666851997375488,5.447316369466758e-07
1000,heap,0.01433253288269043,1.5080758165435693e-07
1000,networkx,0.010378837585449219,1.1089553688705197e-07
1000,classico,0.11254477500915527,1.070698125971883e-06
1000,heap,0.028588533401489258,3.0481466879540706e-07
1000,networkx,0.01212167739868164,1.347129989296667e-07
1000,classico,0.05775094032287598,5.561412873249097e-07
1000,heap,0.014430999755859375,1.6466681116765223e-07
1000,networkx,0.01069498062133789,1.3149314478129294e-07
1000,classico,0.05687832832336426,5.471171393218064e-07
1000,heap,0.015284538269042969,1.6618843959450724e-07
1000,networkx,0.022135496139526367,2.3738026248520006e-07
1000,classico,0.11189532279968262,6.6130065009129905e-09
1000,heap,0.016408681869506836,1.6721649242333986e-07
1000,networkx,0.01129770278930664,1.2328000391113657e-07
1000,classico,0.061131954193115234,5.875939423052228e-07
1000,heap,0.012245893478393555,1.313855018575342e-07
1000,networkx,0.009683609008789062,1.0543378887179233e-07
1000,classico,0.0652165412902832,6.238337257253117e-07
1000,heap,0.025898456573486328,2.758616386573244e-07
1000,networkx,0.018717288970947266,1.9779206678721323e-07
1000,classico,0.05748438835144043,5.534333642777036e-07
1000,heap,0.016921043395996094,1.7424566640153869e-07
1000,networkx,0.010466337203979492,1.140859594175997e-07
1000,classico,0.07193279266357422,6.86473215656053e-07
1000,heap,0.017345905303955078,1.8668531637295447e-07
1000,networkx,0.01149606704711914,1.2866807919940042e-07
1000,classico,0.0827786922454834,7.910267133584497e-07
